# 1
d	+19.550	-41.495	-32.800	+65625.000
# 1435
c	+2.700	+21.215	+21.150	+35429.000
d	-3.050	-29.015	-29.100	+43724.000
# 1465
c	+9.600	+37.855	+33.000	+8009.000
d	-10.300	-34.735	-28.800	+56478.000
# 1455
a	-14.200	+13.250	-23.295	+67883.000
b	+9.150	-7.650	+20.175	+44108.000
# 1551
a	+12.317	-2.517	-20.175	+32399.000
b	-15.850	+4.550	+25.375	+18011.000
# 1583
a	-3.400	+11.150	-49.295	+2762.000
b	+4.050	-10.250	+32.655	+32131.000
# 1512
c	+14.383	+23.295	+12.117	+30482.000
d	-9.800	-32.135	-12.800	+60368.000
# 1484
c	-18.733	+35.775	+29.983	+89694.000
d	+11.400	-21.735	-17.050	+67859.000
# 1508
a	+9.100	-4.150	-38.895	+90485.000
b	-9.783	+4.783	+43.575	+56045.000
# 1635
c	-0.317	+36.295	+29.517	+65808.000
d	+1.250	-34.215	-30.300	+12110.000
# 1609
a	+9.300	+7.200	-32.655	+28197.000
b	-5.417	-23.783	+47.735	+61871.000
# 1677
a	+12.950	+10.050	-27.455	+1225.000
b	-13.430	-24.070	+20.695	+78451.000
# 1731
c	-8.350	+20.175	+20.800	+7072.000
d	-7.117	-25.895	+10.817	+711.000
# 1666
a	+5.350	-7.150	-27.455	+3495.000
b	-6.741	+8.732	+36.815	+110991.000
# 1695
c	+12.475	+21.215	+17.525	+69091.000
d	-12.950	-26.415	-23.950	+38309.000
# 1625
a	+3.300	-5.550	-27.975	+69852.000
b	-3.517	+6.383	+35.775	+76264.000
# 1692
c	+18.130	+25.375	-2.230	+60393.000
d	-8.600	-26.415	+13.700	+25366.000
# 1749
b	-11.600	+6.850	+20.695	+36070.000
c	+0.650	+22.255	+39.050	+27475.000
# 1734
c	+5.150	+34.215	+33.550	+100.000
d	+13.550	-26.935	-1.850	+72680.000
# 1764
b	-14.417	-14.983	+32.655	+79021.000
d	+20.583	-28.495	-28.083	+3555.000
# 1769
c	-8.250	+45.135	+11.550	+20120.000
d	+8.175	-40.455	-12.575	+48558.000
# 1813
a	+13.300	+21.950	-23.295	+21255.000
d	+2.650	-22.255	-1.600	+36979.000
# 1809
c	+2.317	+41.495	+6.817	+52679.000
d	-1.950	-33.175	-12.350	+21652.000
# 1825
c	-13.150	+27.455	+8.450	+63485.000
d	+15.850	-32.135	-9.450	+4652.000
# 1810
b	-16.200	-24.400	+26.415	+55417.000
d	-19.550	-29.015	-19.450	+8424.000
# 1818
c	+8.300	+33.695	-1.300	+56005.000
d	-9.300	-44.615	-2.650	+74948.000
# 1823
a	+14.250	+6.050	-25.375	+40239.000
b	-20.390	-7.730	+36.295	+53734.000
# 1897
a	+16.050	+27.950	-26.935	+6617.000
b	-16.950	-33.000	+26.415	+52386.000
# 1854
b	+19.300	-16.150	+20.695	+51650.000
c	-17.650	+43.055	-6.550	+28764.000
# 1918
a	+3.000	+17.750	-49.295	+9222.000
b	-2.350	-14.550	+43.055	+21866.000
# 1972
a	+1.450	+26.150	-23.815	+11188.000
d	+9.350	-30.055	+5.050	+28883.000
# 1956
a	+4.217	+4.383	-38.895	+7854.000
b	-3.075	-0.825	+22.775	+42838.000
# 1994
c	-0.250	+20.175	+6.650	+47647.000
d	+15.350	-49.295	-4.200	+2977.000
# 1998
b	+6.530	-18.030	+30.575	+39211.000
c	+7.250	+25.375	-2.150	+25626.000
# 1955
c	+4.083	+23.295	-10.217	+30249.000
d	-3.810	-23.295	+9.370	+60918.000
# 1867
c	-10.250	+20.175	+13.850	+89448.000
d	+15.430	-30.055	-17.470	+79401.000
# 1940
a	+17.400	+25.550	-25.895	+49201.000
b	-6.600	-27.150	+23.295	+108342.000
# 2084
a	+4.100	+16.450	-31.615	+37791.000
b	-7.050	-20.050	+47.215	+8524.000
# 2071
c	+3.850	+20.695	-9.100	+5765.000
d	-4.083	-26.935	+8.583	+45650.000
# 2077
a	+14.717	+4.217	-30.055	+23092.000
b	-11.800	+10.500	+33.695	+37314.000
# 2091
a	+12.700	+36.650	-26.935	+66252.000
c	+0.250	+23.295	+25.650	+21301.000
# 2058
c	+11.421	+23.295	+31.707	+91486.000
d	-11.500	-26.415	-14.900	+43888.000
# 2132
a	-2.450	+24.300	-31.095	+16310.000
b	+1.725	-18.350	+22.255	+99936.000
# 2080
c	+18.600	+40.975	+14.017	+81344.000
d	-15.417	-36.815	-14.183	+66553.000
# 2199
a	-6.650	-0.350	-20.695	+35835.000
b	+12.700	+1.950	+43.055	+16905.000
# 2122
c	-15.900	+23.295	+3.450	+64132.000
d	+18.179	-26.935	-7.407	+107742.000
# 2235
a	+5.300	+11.650	-37.335	+13441.000
b	-3.750	-11.850	+29.535	+1955.000
# 2110
c	+1.167	+32.655	+8.450	+119256.000
d	-0.030	-35.255	-12.130	+78929.000
# 2151
a	-8.050	+12.000	-21.735	+38104.000
d	-5.613	-23.815	-5.938	+121329.000
# 2171
a	+0.850	-12.150	-22.775	+60584.000
c	-9.275	+20.175	+43.375	+109597.000
# 2259
a	+0.050	-2.750	-20.175	+2791.000
b	+0.667	+2.017	+21.215	+65072.000
# 2314
c	+5.150	+20.695	+30.350	+2233.000
d	+19.350	-20.695	-10.650	+20274.000
# 2164
c	+4.100	+21.735	+15.600	+78576.000
d	-6.250	-44.095	-21.600	+65936.000
# 2308
a	+5.550	+27.400	-40.975	+8371.000
b	-1.050	-31.900	+32.655	+37494.000
# 2332
c	-21.550	+33.695	+4.350	+23085.000
d	+18.183	-29.015	-4.483	+25170.000
# 2338
a	-1.800	-7.450	-39.415	+44199.000
b	+0.850	+10.050	+49.295	+5737.000
# 2236
a	-0.779	-8.350	-50.855	+105552.000
b	-2.600	+9.550	+50.335	+27477.000
# 2261
c	-0.350	+32.655	-11.200	+63069.000
d	+0.410	-33.695	+12.250	+69890.000
# 2428
a	-11.550	+1.150	-20.695	+27239.000
b	+11.250	-0.350	+23.815	+42508.000
# 2452
c	-6.800	+24.855	+23.650	+46299.000
d	+5.950	-22.255	-21.050	+23410.000
# 2380
a	-11.400	+4.850	-22.775	+20023.000
b	+11.250	-4.500	+32.655	+99268.000
# 2419
a	-4.150	-9.750	-33.695	+31141.000
b	+19.650	-4.500	+40.455	+63774.000
# 2486
c	-14.200	+22.255	+12.500	+72840.000
d	+18.100	-21.215	-13.750	+12346.000
# 2475
a	-1.050	+17.300	-39.415	+14643.000
b	-0.483	-5.817	+20.175	+55428.000
# 2534
c	-4.150	+50.855	+5.450	+18292.000
d	+3.250	-42.015	-4.050	+46958.000
# 2470
a	+7.375	+4.225	-23.295	+55398.000
b	-6.983	-4.417	+22.255	+56464.000
# 2571
a	-10.400	-12.400	-28.495	+68274.000
c	+14.950	+21.735	+22.600	+7755.000
# 2400
a	+0.075	+9.025	-20.695	+83377.000
b	+1.600	-14.800	+25.375	+104500.000
# 2612
a	+3.050	+13.850	-29.015	+41.000
b	-3.700	-20.850	+44.615	+22478.000
# 2536
a	-12.817	+7.683	-21.215	+45594.000
b	-0.517	+6.917	+26.935	+79833.000
# 2644
a	+12.700	+39.850	-27.975	+53456.000
b	-10.850	-17.300	+30.575	+5180.000
# 2646
c	+1.250	+36.815	+13.150	+4035.000
d	-1.983	-43.575	-12.183	+86778.000
# 2500
a	+16.350	+23.417	-28.495	+138096.000
b	-21.900	-30.400	+38.895	+74803.000
# 2695
a	+16.200	+10.050	-23.815	+41172.000
d	-11.550	-32.135	+4.950	+38881.000
# 2731
a	+10.530	-5.910	-25.375	+70924.000
b	+0.150	-0.350	+21.215	+17479.000
# 2764
c	+1.125	+35.255	+14.063	+45366.000
d	-0.450	-25.895	-11.350	+4614.000
# 2788
c	-19.150	+47.735	-9.400	+48176.000
d	+11.800	-22.775	+0.950	+23101.000
# 2853
a	-13.400	-10.850	-34.215	+16493.000
b	+11.050	+9.533	+29.015	+43428.000
# 2845
a	+13.850	-12.300	-34.735	+38330.000
b	-12.450	-18.100	+34.215	+16413.000
# 2874
c	-7.150	+27.455	+25.250	+6270.000
d	+6.883	-27.975	-25.783	+62734.000
# 2841
a	-12.550	+1.400	-24.335	+13076.000
b	+8.300	+0.700	+22.255	+83743.000
# 2864
a	+5.910	+4.130	-31.615	+79466.000
b	-3.550	-5.400	+21.215	+30287.000
# 2838
c	+12.170	+22.255	+4.570	+70356.000
d	-13.350	-25.895	-6.350	+47449.000
# 2779
c	-13.675	+27.975	-1.575	+63520.000
d	+17.683	-36.815	+5.417	+111628.000
# 2971
c	+13.300	+25.375	-0.650	+26935.000
d	-19.950	-29.535	+12.650	+1541.000
# 2883
c	-4.875	+38.895	+38.275	+92582.000
d	+8.600	-40.455	-41.650	+17826.000
# 2986
a	+18.250	-3.050	-33.175	+8117.000
c	+8.400	+27.455	-8.600	+12174.000
# 3005
c	+12.650	+22.255	+19.150	+17567.000
d	-16.250	-33.695	-32.350	+1309.000
# 2982
b	+15.750	-16.700	+22.255	+17874.000
c	-15.900	+31.095	-12.150	+39657.000
# 2991
a	+10.650	-13.050	-26.415	+13266.000
d	+12.275	-20.695	-32.675	+78061.000
# 3003
b	-6.807	+9.607	+36.295	+43059.000
c	+3.000	+21.735	+45.250	+4965.000
# 3122
a	+1.850	+0.950	-25.895	+8719.000
d	+13.250	-34.215	+1.350	+3871.000
# 3040
a	+10.250	+26.950	-32.655	+71026.000
b	-12.317	-40.683	+44.615	+30128.000
# 2976
a	-12.583	+10.283	-21.215	+57393.000
b	+15.550	-16.200	+20.175	+81051.000
# 3057
a	+1.700	-4.650	-22.775	+44933.000
b	+12.807	+6.979	+35.775	+103572.000
# 3175
a	-15.950	-0.950	-30.575	+2590.000
b	+15.700	+6.900	+25.375	+58578.000
# 3225
c	-12.700	+42.535	-9.850	+26822.000
d	+8.000	-22.775	+11.150	+28237.000
# 3243
c	+18.050	+36.295	-2.950	+229.000
d	-20.600	-36.815	+7.800	+39465.000
